order_id;customer_id;order_status;order_purchase_timestamp;order_approved_at;order_delivered_carrier_date;order_delivered_customer_date;order_estimated_delivery_date;is_delivered;problem_order
6ea2f835b4556291ffdc53fa0b3b95e8;c7340080e394356141681bd4c9b8fe31;delivered;2017-11-24 21:27:48;2017-11-25 00:21:09;2017-12-13 21:14:05;2017-12-28 18:59:23;2017-12-21;True;True
6a0a8bfbbe700284feb0845d95e0867f;68451b39b1314302c08c65a29f1140fc;delivered;2017-11-22 11:32:22;2017-11-22 11:46:50;2017-11-27 13:39:35;2017-12-28 19:43:00;2017-12-11;True;True
9d531c565e28c3e0d756192f84d8731f;d4faa220408c20e53595d2950f361f3b;delivered;2017-11-28 21:00:44;2017-12-01 09:31:15;2017-12-14 20:37:43;2018-01-23 21:38:52;2017-12-22;True;True
8fc207e94fa91a7649c5a5dab690272a;c69f8b33e62ecb30ff78ae46d7fb9241;delivered;2017-11-26 17:49:46;2017-11-26 17:58:34;2017-11-28 23:17:09;2018-01-20 13:42:22;2017-12-19;True;True
f31535f21d145b2345e2bf7f09d62322;ed532487db04478dfba09d112649fc13;delivered;2018-02-01 07:47:34;2018-02-01 08:10:31;2018-02-02 00:24:34;2018-04-23 15:49:34;2018-03-05;True;True
06ae7271902bbb087fc093137fee6e81;1a1b5f9e903aa3c203caf5cb63fca2b1;delivered;2018-01-19 21:07:32;2018-01-20 09:09:35;2018-01-29 20:17:05;2018-02-20 19:27:20;2018-02-22;True;True
4906eeadde5f70b308c20c4a8f20be02;4e7656e34357b93f14b40c6400ca3f6e;delivered;2017-12-08 04:45:26;2017-12-12 03:50:30;2017-12-12 17:43:21;2018-01-09 18:04:58;2018-01-03;True;True
f11e9516ca2b6091b64f2e2ea0ebebb3;7d527c98f408420a9d5c953e5b89215e;delivered;2018-02-22 20:53:14;2018-02-22 21:28:02;2018-02-23 23:19:09;2018-03-28 22:04:44;2018-03-19;True;True
da8be3bb62e9bf01e2e1a3bfd74ebd1a;3f083b9f62e687be8d84684c7d54c8db;delivered;2017-04-06 13:44:08;2017-04-06 13:55:17;2017-04-08 01:37:04;2017-05-08 10:52:06;2017-05-04;True;True
690199d6a2c51ff57c6b392d7680cbfd;19bacb562bd43bd4eaf05b6c0a59dad0;delivered;2018-03-16 11:31:18;2018-03-16 11:49:14;2018-03-19 19:56:23;2018-05-14 12:28:56;2018-04-11;True;True
7b58fca3faf09217a36d5febee5739a5;0966fbba1c0e8c5e26e31166c2fd3ce8;delivered;2018-03-04 22:59:50;2018-03-04 23:15:32;2018-03-06 16:49:08;2018-04-12 21:04:01;2018-03-28;True;True
f30607daae66843552e00843c6de88ef;8e1769459d9b9a9989799f6c79a4a663;delivered;2018-02-21 13:18:37;2018-02-23 02:31:22;2018-03-05 23:44:55;2018-04-12 11:36:51;2018-03-27;True;True
4f7ce3efe568a5e57290a9fa3e45b1f5;2569d6c5ed547bf0feaf37e32677fdaa;delivered;2018-01-26 13:32:22;2018-01-26 13:52:07;2018-01-29 23:16:01;2018-03-08 11:15:57;2018-02-21;True;True
eafef0e6c44f121531569a69a318c3b3;084dab2db2bf5d42677b135e633a15ba;delivered;2017-11-29 13:03:33;2017-11-29 13:12:28;2017-12-04 19:18:09;2018-01-09 16:32:21;2017-12-27;True;True
4d2d8a4224215f680cc5221011347401;5957d9ae822bcbe88c00fb8286362339;delivered;2018-03-01 12:43:37;2018-03-02 02:10:25;2018-03-02 19:08:11;2018-04-05 17:12:42;2018-04-02;True;True
91bcade2288597459e1dbce52d6d0ef9;449057269c318304d8a753f64c181b07;delivered;2018-01-04 13:14:34;2018-01-04 13:29:16;2018-01-10 20:24:19;2018-02-09 00:44:50;2018-02-02;True;True
d52140bee663636aa4f6057e50bc06a3;32fa597a3b06db1949ee96c416335b6b;delivered;2018-03-01 20:30:22;2018-03-01 20:49:07;2018-03-02 20:35:25;2018-04-16 16:24:45;2018-03-27;True;True
118045506e1c1dda060171af43fe11b4;638c6674418fc58283a73c078bcb076f;delivered;2018-03-08 19:06:05;2018-03-09 19:08:26;2018-03-13 21:24:28;2018-04-11 12:53:50;2018-04-04;True;True
b7ed5b357d48b6c8f588c5cf0d7ddf5d;92148a85c89c0da621cdc0e1810a23f7;delivered;2018-03-10 23:24:50;2018-03-11 00:00:30;2018-03-12 17:08:26;2018-04-17 17:37:54;2018-04-02;True;True
