order_id;customer_id;order_status;order_purchase_timestamp;order_approved_at;order_delivered_carrier_date;order_delivered_customer_date;order_estimated_delivery_date;customer_unique_id;customer_zip_code_prefix;customer_city;customer_state;payment_sequential;payment_type;payment_installments;payment_value;order_item_id;product_id;seller_id;shipping_limit_date;price;freight_value;review_id;review_score;review_comment_title;review_comment_message;review_creation_date;review_answer_timestamp;product_category_name;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm;zip_code_prefix;seller_city;seller_state;geolocation_lat;geolocation_lng;geolocation_city;geolocation_state;delivery_days;approve_days;seller_days;to_customer_days
8563039e855156e48fccee4d611a3196;5f16605299d698660e0606f7eae2d2f9;delivered;2018-02-17 15:59:46;2018-02-17 16:15:34;2018-02-20 23:03:56;2018-03-20 00:59:25;2018-03-20;92fd8aa5948e20c43a014c44c025c5e1;77480;alvorada;TO;1;credit_card;4;106.95;1;bff2010b28e8fbcff5a9db9d3fea5ac4;955fee9216a65b617aa5c0531780ce60;2018-02-22 15:15:34;78.0;28.95;f121467a10eee0929f364c7d62abc9b5;5.0;No message;há muito tempo efetuo compras atraves desta loja, nunca tive problemas. sempre entrega antes da data.;2018-03-20 00:00:00;2018-03-23 22:56:05;ferramentas_jardim;58.0;769.0;6.0;850.0;90.0;20.0;20.0;4782;sao paulo;SP;-23.691013257142856;-46.70380971428572;sao paulo;SP;30.0;0;3.0;27.0
6a0a8bfbbe700284feb0845d95e0867f;68451b39b1314302c08c65a29f1140fc;delivered;2017-11-22 11:32:22;2017-11-22 11:46:50;2017-11-27 13:39:35;2017-12-28 19:43:00;2017-12-11;781ae350edb16842380e81d7c7feb431;20740;rio de janeiro;RJ;1;credit_card;5;101.74;1;f8a8f05a35976a91aed5cccc3992c357;4a3ca9315b744ce9f8e9374361493884;2017-11-28 11:46:50;83.9;17.84;1dbe272d8884775c73d0d164bd1ff844;1.0;No message;No message;2017-12-13 00:00:00;2017-12-19 22:50:36;moveis_decoracao;63.0;418.0;1.0;1500.0;45.0;15.0;35.0;14940;ibitinga;SP;-21.75732060839161;-48.82974371678322;ibitinga;SP;36.0;0;5.0;31.0
9d531c565e28c3e0d756192f84d8731f;d4faa220408c20e53595d2950f361f3b;delivered;2017-11-28 21:00:44;2017-12-01 09:31:15;2017-12-14 20:37:43;2018-01-23 21:38:52;2017-12-22;efc37ae565ee0943cca2b89fc65c4d6f;24933;marica;RJ;1;credit_card;4;40.09;1;807b2de93dbb064bbc82dc6ac963bc61;903037660cf848a717166eb7a06d616e;2017-12-06 20:57:24;25.99;14.1;2f0b343574f452929f57f8eefe71e24a;1.0;No message;Não recebi o produto até a presente data na minha residência. ;2017-12-29 00:00:00;2017-12-29 09:40:23;moveis_decoracao;25.0;133.0;1.0;500.0;16.0;30.0;16.0;5734;sao paulo;SP;-23.625699081818183;-46.74346764090909;sao paulo;SP;56.0;2;13.0;40.0
8fc207e94fa91a7649c5a5dab690272a;c69f8b33e62ecb30ff78ae46d7fb9241;delivered;2017-11-26 17:49:46;2017-11-26 17:58:34;2017-11-28 23:17:09;2018-01-20 13:42:22;2017-12-19;7d185d821a11c769636247766f1fd45e;25540;sao joao de meriti;RJ;1;credit_card;5;135.51;1;f2e53dd1670f3c376518263b3f71424d;4a3ca9315b744ce9f8e9374361493884;2017-11-30 17:58:34;109.9;25.61;9d2f0580ba36009a6b5786d70953be46;3.0;No message;O prazo de entrega é muito longo;2017-12-20 00:00:00;2017-12-20 09:58:08;cama_mesa_banho;53.0;236.0;2.0;1975.0;41.0;13.0;31.0;14940;ibitinga;SP;-21.75732060839161;-48.82974371678322;ibitinga;SP;54.0;0;2.0;52.0
f31535f21d145b2345e2bf7f09d62322;ed532487db04478dfba09d112649fc13;delivered;2018-02-01 07:47:34;2018-02-01 08:10:31;2018-02-02 00:24:34;2018-04-23 15:49:34;2018-03-05;51ac8560948d44d4ffa33f2680569a20;24350;niteroi;RJ;2;voucher;1;100.0;1;f196248e8b5d060cca414a664ea9a76f;91f0eec23d4a61d7d7caeefa3f0ad1ca;2018-02-08 08:10:31;199.0;24.26;64c5384f6f6ccdb5b514f1ebfbba5a03;1.0;No message;No message;2018-03-07 00:00:00;2018-03-07 12:30:01;automotivo;58.0;1167.0;1.0;1900.0;90.0;14.0;18.0;88704;tubarao;SC;-28.4759216;-49.01172851666667;tubarao;SC;81.0;0;0.0;80.0
f31535f21d145b2345e2bf7f09d62322;ed532487db04478dfba09d112649fc13;delivered;2018-02-01 07:47:34;2018-02-01 08:10:31;2018-02-02 00:24:34;2018-04-23 15:49:34;2018-03-05;51ac8560948d44d4ffa33f2680569a20;24350;niteroi;RJ;1;credit_card;5;123.26;1;f196248e8b5d060cca414a664ea9a76f;91f0eec23d4a61d7d7caeefa3f0ad1ca;2018-02-08 08:10:31;199.0;24.26;64c5384f6f6ccdb5b514f1ebfbba5a03;1.0;No message;No message;2018-03-07 00:00:00;2018-03-07 12:30:01;automotivo;58.0;1167.0;1.0;1900.0;90.0;14.0;18.0;88704;tubarao;SC;-28.4759216;-49.01172851666667;tubarao;SC;81.0;0;0.0;80.0
06ae7271902bbb087fc093137fee6e81;1a1b5f9e903aa3c203caf5cb63fca2b1;delivered;2018-01-19 21:07:32;2018-01-20 09:09:35;2018-01-29 20:17:05;2018-02-20 19:27:20;2018-02-22;701a19d561fa7884b12c229759819698;24445;sao goncalo;RJ;1;boleto;1;96.8;1;da0bb22eb8eb2bce31a3784570528efb;3d871de0142ce09b7081e2b9d1733cb1;2018-01-30 09:09:35;79.0;17.8;fbff4619cebab4ddb3f7cb0f33900e93;5.0;No message;No message;2018-02-21 00:00:00;2018-02-22 13:26:12;papelaria;50.0;354.0;3.0;6350.0;38.0;30.0;28.0;13232;campo limpo paulista;SP;-23.211746458333334;-46.76287488888889;campo limpo paulista;SP;31.0;0;9.0;21.0
bca3dc20a3ec02261c5b17dc270e9e65;90065cd5c7c581bf099b1b9bd589a3fe;delivered;2017-12-05 10:34:52;2017-12-06 02:50:38;2017-12-08 21:41:59;2018-01-04 16:57:16;2018-01-05;e8dffc994f5e11c852b8706c0470ce53;37650;camanducaia;MG;1;boleto;1;101.34;1;617186c3d97ea56c9c683a8a3974e8c1;cc419e0650a3c5ba77189a1882b7556a;2017-12-14 02:50:38;84.99;16.35;deef5d20d53c76e9869f0950e3d93d53;5.0;No message;No message;2018-01-05 00:00:00;2018-01-05 19:35:52;perfumaria;59.0;1071.0;1.0;550.0;21.0;12.0;20.0;9015;santo andre;SP;-23.6593636625;-46.52318313125;santo andre;SP;30.0;0;2.0;26.0
da8be3bb62e9bf01e2e1a3bfd74ebd1a;3f083b9f62e687be8d84684c7d54c8db;delivered;2017-04-06 13:44:08;2017-04-06 13:55:17;2017-04-08 01:37:04;2017-05-08 10:52:06;2017-05-04;1e7097be947ad5d0f7819bdc9d8d7d0e;24716;sao goncalo;RJ;1;credit_card;10;2751.24;1;cea7edf64d9e93fbf6b89cc3ba537cd9;a4b6b9b992b46e9ef863637af96e04bc;2017-04-12 13:55:17;2690.0;61.24;b26a755642556c1b115289ed08626435;1.0;No message;"ainda não recebi o produto acredito que não seja culpa do vendedor e sim dos correios , e estou com urgência 

o produto se encontra parado nos correiros na data de 01/05/17 ";2017-05-06 00:00:00;2017-05-08 12:34:10;ferramentas_jardim;57.0;492.0;1.0;25000.0;40.0;40.0;40.0;88090;florianopolis;SC;-27.59221369767442;-48.595468736434114;florianopolis;SC;31.0;0;1.0;30.0
7b58fca3faf09217a36d5febee5739a5;0966fbba1c0e8c5e26e31166c2fd3ce8;delivered;2018-03-04 22:59:50;2018-03-04 23:15:32;2018-03-06 16:49:08;2018-04-12 21:04:01;2018-03-28;80c005e764b7eb039df094f0c3e22c70;74643;goiania;GO;1;credit_card;3;76.76;1;b8a0d73b2a06e7910d9864dccdb0cda2;620c87c171fb2a6dd6e8bb4dec959fc6;2018-03-08 23:15:32;59.9;16.86;eb0b814a6d169fb5777215af141d39e5;3.0;No message;O produto ainda não chegou;2018-03-30 00:00:00;2018-04-01 21:56:21;beleza_saude;43.0;295.0;1.0;371.0;20.0;16.0;16.0;25645;petropolis;RJ;-22.54079643846154;-43.20123496923077;petrópolis;RJ;38.0;0;1.0;37.0
